 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
6.697454, 0.1064007, 0.00654863, 0.0153301, 0.0200864, 0.01572788, 0.0445245, 0.01302992
6.797416, 0.1063078, 0.006137532, 0.01441317, 0.01916666, 0.01492812, 0.04631866, 0.01230081
6.897378, 0.1070993, 0.005752241, 0.01355108, 0.01828904, 0.01416902, 0.04565864, 0.01279982
6.99734, 0.1186781, 0.005391138, 0.01274055, 0.0174516, 0.01344852, 0.04335922, 0.01194336
7.097302, 0.1459021, 0.005052703, 0.0119785, 0.0166525, 0.01276466, 0.04383923, 0.01114421
7.197264, 0.1580549, 0.004735514, 0.01126204, 0.01589, 0.01211558, 0.04547307, 0.01065762
7.297226, 0.1603855, 0.004438237, 0.01058842, 0.01516241, 0.0114995, 0.04318301, 0.009944499
7.397188, 0.1767782, 0.004159621, 0.009955101, 0.01446813, 0.01091475, 0.04277211, 0.009279096
7.49715, 0.187329, 0.003898496, 0.00935966, 0.01380565, 0.01035973, 0.04156938, 0.008658217
7.597112, 0.1835377, 0.003653764, 0.008799832, 0.0131735, 0.009832937, 0.04209836, 0.008078882
7.697074, 0.1883157, 0.003424394, 0.008273492, 0.0125703, 0.009332931, 0.04985806, 0.00753831
7.797036, 0.1821415, 0.003209424, 0.007778631, 0.01199471, 0.00885835, 0.04734715, 0.00703391
7.896998, 0.1900994, 0.003007949, 0.00731337, 0.01144549, 0.008407902, 0.05020829, 0.006563259
7.99696, 0.1819945, 0.002819121, 0.006875937, 0.01092141, 0.007980359, 0.04850505, 0.006124101
8.096921999999999, 0.174235, 0.002642148, 0.006464669, 0.01042132, 0.007574556, 0.04606229, 0.005714327
8.196884000000001, 0.1668064, 0.006899958, 0.006077999, 0.009944141, 0.007189389, 0.04413954, 0.005331972
8.296846, 0.1762982, 0.00767204, 0.009586318, 0.009488807, 0.006823807, 0.04458221, 0.004975201
8.396808, 0.1800267, 0.007190419, 0.01368185, 0.0115047, 0.006476816, 0.04233701, 0.004642302
8.49677, 0.1914449, 0.01204431, 0.02354185, 0.01783706, 0.01694569, 0.04020488, 0.004331678
8.596731999999999, 0.190846, 0.01128822, 0.02213375, 0.01702031, 0.016084, 0.03818012, 0.004041838
8.696694000000001, 0.1890098, 0.01057959, 0.02080987, 0.01624097, 0.01526613, 0.03625733, 0.006952694
8.796656, 0.1978498, 0.009915441, 0.01956518, 0.01549731, 0.01448984, 0.03879629, 0.006487478
8.896618, 0.1916683, 0.009292988, 0.01839493, 0.0147877, 0.01375303, 0.03893536, 0.00605339
8.99658, 0.2006703, 0.00870961, 0.01729468, 0.01411058, 0.01305369, 0.03782336, 0.005648348
9.096541999999999, 0.2111367, 0.008162854, 0.01626024, 0.01346447, 0.01238991, 0.03929751, 0.005270408
9.196503999999999, 0.2358809, 0.007650421, 0.01528767, 0.01284794, 0.01175988, 0.03919704, 0.004917756
9.296466000000001, 0.2350055, 0.007170158, 0.01437327, 0.01225965, 0.01116189, 0.03722304, 0.004588701
9.396428, 0.2357965, 0.006720042, 0.01351357, 0.01169829, 0.0105943, 0.03534845, 0.004355004
9.49639, 0.2307415, 0.006298184, 0.01270528, 0.01116263, 0.01005558, 0.03777787, 0.004063603
9.596352, 0.2437174, 0.005902808, 0.01194535, 0.0106515, 0.009544252, 0.03689855, 0.004311662
9.696313999999999, 0.2598599, 0.009003527, 0.02134872, 0.02179154, 0.01232996, 0.0350403, 0.004211284
9.796276000000001, 0.2660869, 0.008438321, 0.0253541, 0.02324283, 0.02207712, 0.03327563, 0.01037668
9.896238, 0.2649637, 0.00976932, 0.02483973, 0.02217856, 0.02095449, 0.03269996, 0.01400097
9.9962, 0.2617888, 0.00915604, 0.023354, 0.02193237, 0.01988895, 0.03105316, 0.01306414
10.096162, 0.2703177, 0.00858126, 0.02195713, 0.02092811, 0.0188776, 0.02948929, 0.01219
10.196124, 0.262479, 0.008042561, 0.02064382, 0.01996982, 0.01791767, 0.02800419, 0.01137435
10.296086, 0.2621306, 0.009254939, 0.0260041, 0.01905542, 0.01700655, 0.02659387, 0.01061327
10.396048, 0.2678763, 0.008673949, 0.02560154, 0.01945311, 0.01614176, 0.02608097, 0.00990312
