Time(s),Lick,Rinse,ArtSal,Quinine,NaCl,Sucrose,MSG,Citric
729.835,0,0,0,0,0,0,0,0
729.95,1,0,0,0,0,1,0,0
729.96,0,0,0,0,0,0,0,0
730.084,1,0,0,0,0,1,0,0
730.094,0,0,0,0,0,0,0,0
730.231,1,0,0,0,0,1,0,0
730.241,0,0,0,0,0,0,0,0
730.362,1,0,0,0,0,1,0,0
730.372,0,0,0,0,0,0,0,0
730.49,1,0,0,0,0,1,0,0
730.5,0,0,0,0,0,0,0,0
730.636,1,0,0,0,0,1,0,0
730.646,0,0,0,0,0,0,0,0
730.773,1,0,0,0,0,0,0,0
730.783,0,0,0,0,0,0,0,0
730.924,1,0,0,0,0,0,0,0
730.934,0,0,0,0,0,0,0,0
731.174,1,0,0,0,0,0,0,0
731.184,0,0,0,0,0,0,0,0
731.291,1,1,0,0,0,0,0,0
731.301,0,0,0,0,0,0,0,0
731.445,1,0,0,0,0,0,0,0
731.455,0,0,0,0,0,0,0,0
731.585,1,0,0,0,0,0,0,0
731.595,0,0,0,0,0,0,0,0
731.719,1,0,0,0,0,0,0,0
731.729,0,0,0,0,0,0,0,0
731.858,1,0,0,0,0,0,0,0
731.868,0,0,0,0,0,0,0,0
731.983,1,1,0,0,0,0,0,0
731.993,0,0,0,0,0,0,0,0
732.146,1,0,0,0,0,0,0,0
732.156,0,0,0,0,0,0,0,0
732.292,1,0,0,0,0,0,0,0
732.302,0,0,0,0,0,0,0,0
732.436,1,0,0,0,0,0,0,0
732.446,0,0,0,0,0,0,0,0
732.571,1,1,0,0,0,0,0,0
732.581,0,0,0,0,0,0,0,0
732.727,1,0,0,0,0,0,0,0
732.737,0,0,0,0,0,0,0,0
732.872,1,0,0,0,0,0,0,0
732.882,0,0,0,0,0,0,0,0
733.014,1,0,0,0,0,0,0,0
733.024,0,0,0,0,0,0,0,0
733.167,1,0,0,0,0,0,0,0
733.177,0,0,0,0,0,0,0,0
733.351,1,1,0,0,0,0,0,0
733.361,0,0,0,0,0,0,0,0
733.471,1,0,0,0,0,0,0,0
733.481,0,0,0,0,0,0,0,0
733.733,1,0,0,0,0,0,0,0
733.743,0,0,0,0,0,0,0,0
733.86,1,0,0,0,0,0,0,0
733.87,0,0,0,0,0,0,0,0
734.03,1,0,0,0,0,0,0,0
734.04,0,0,0,0,0,0,0,0
734.178,1,0,0,0,0,0,0,0
734.188,0,0,0,0,0,0,0,0
734.328,1,1,0,0,0,0,0,0
734.338,0,0,0,0,0,0,0,0
734.478,1,0,0,0,0,0,0,0
734.488,0,0,0,0,0,0,0,0
734.632,1,0,0,0,0,0,0,0
734.642,0,0,0,0,0,0,0,0
734.79,1,0,0,0,0,0,0,0
734.8,0,0,0,0,0,0,0,0
734.951,1,0,0,0,0,0,0,0
734.961,0,0,0,0,0,0,0,0
735.125,1,1,0,0,0,0,0,0
735.135,0,0,0,0,0,0,0,0
735.237,1,0,0,0,0,0,0,0
735.247,0,0,0,0,0,0,0,0
735.393,1,0,0,0,0,0,0,0
735.403,0,0,0,0,0,0,0,0
735.558,1,0,0,0,0,0,0,0
735.568,0,0,0,0,0,0,0,0
735.771,1,1,0,0,0,0,0,0
735.781,0,0,0,0,0,0,0,0
735.933,1,0,0,0,0,0,0,0
735.943,0,0,0,0,0,0,0,0
736.046,1,0,0,0,0,0,0,0
736.056,0,0,0,0,0,0,0,0
736.274,1,0,0,0,0,0,0,0
736.284,0,0,0,0,0,0,0,0
736.436,1,0,0,0,0,0,0,0
736.446,0,0,0,0,0,0,0,0
736.836,1,0,0,0,0,0,0,0
736.846,0,0,0,0,0,0,0,0
736.985,1,1,0,0,0,0,0,0
736.995,0,0,0,0,0,0,0,0
737.143,1,0,0,0,0,0,0,0
737.153,0,0,0,0,0,0,0,0
737.309,1,0,0,0,0,0,0,0
737.319,0,0,0,0,0,0,0,0
737.462,1,0,0,0,0,0,0,0
737.472,0,0,0,0,0,0,0,0
737.627,1,0,0,0,0,0,0,0
737.637,0,0,0,0,0,0,0,0
737.773,1,0,0,0,0,0,0,0
737.783,0,0,0,0,0,0,0,0
737.959,1,1,0,0,0,0,0,0
737.969,0,0,0,0,0,0,0,0
738.069,1,0,0,0,0,0,0,0
738.079,0,0,0,0,0,0,0,0
738.296,1,0,0,0,0,0,0,0
738.306,0,0,0,0,0,0,0,0
738.452,1,0,0,0,0,0,0,0
738.462,0,0,0,0,0,0,0,0
738.558,1,0,0,0,0,0,0,0
738.568,0,0,0,0,0,0,0,0
738.789,1,0,0,0,0,0,0,0
738.799,0,0,0,0,0,0,0,0
738.939,1,1,0,0,0,0,0,0
738.949,0,0,0,0,0,0,0,0
739.092,1,0,0,0,0,0,0,0
739.102,0,0,0,0,0,0,0,0
739.245,1,0,0,0,0,0,0,0
739.255,0,0,0,0,0,0,0,0
739.395,1,0,0,0,0,0,0,0
739.405,0,0,0,0,0,0,0,0
739.543,1,0,0,0,0,0,0,0
739.553,0,0,0,0,0,0,0,0
739.715,1,0,0,0,0,0,0,0
739.725,0,0,0,0,0,0,0,0
739.869,1,0,0,0,0,0,0,1
739.879,0,0,0,0,0,0,0,0
740.045,1,0,0,0,0,0,0,1
740.055,0,0,0,0,0,0,0,0
740.165,1,0,0,0,0,0,0,1
740.175,0,0,0,0,0,0,0,0
740.412,1,0,0,0,0,0,0,1
740.422,0,0,0,0,0,0,0,0
741.186,1,0,0,0,0,0,0,1
741.196,0,0,0,0,0,0,0,0
741.303,1,0,0,0,0,0,0,1
741.313,0,0,0,0,0,0,0,0
741.651,1,0,0,0,0,0,0,1
741.661,0,0,0,0,0,0,0,0
741.794,1,0,0,0,0,0,0,1
741.804,0,0,0,0,0,0,0,0
741.936,1,0,0,0,0,0,0,1
741.946,0,0,0,0,0,0,0,0
742.059,1,0,0,0,0,0,0,1
742.069,0,0,0,0,0,0,0,0
742.202,1,0,0,0,0,0,0,0
742.212,0,0,0,0,0,0,0,0
742.334,1,0,0,0,0,0,0,0
742.344,0,0,0,0,0,0,0,0
744.237,1,0,0,0,0,0,0,0
744.247,0,0,0,0,0,0,0,0
744.373,1,0,0,0,0,0,0,0
744.383,0,0,0,0,0,0,0,0
744.517,1,0,0,0,0,0,0,0
744.527,0,0,0,0,0,0,0,0
744.627,1,1,0,0,0,0,0,0
744.637,0,0,0,0,0,0,0,0
744.735,1,0,0,0,0,0,0,0
744.745,0,0,0,0,0,0,0,0
744.922,1,0,0,0,0,0,0,0
744.932,0,0,0,0,0,0,0,0
745.049,1,0,0,0,0,0,0,0
745.059,0,0,0,0,0,0,0,0
745.193,1,0,0,0,0,0,0,0
745.203,0,0,0,0,0,0,0,0
745.341,1,0,0,0,0,0,0,0
745.351,0,0,0,0,0,0,0,0
745.514,1,1,0,0,0,0,0,0
745.524,0,0,0,0,0,0,0,0
745.671,1,0,0,0,0,0,0,0
745.681,0,0,0,0,0,0,0,0
745.834,1,0,0,0,0,0,0,0
745.844,0,0,0,0,0,0,0,0
745.937,1,0,0,0,0,0,0,0
745.947,0,0,0,0,0,0,0,0
746.179,1,0,0,0,0,0,0,0
746.189,0,0,0,0,0,0,0,0
746.342,1,0,0,0,0,0,0,0
746.352,0,0,0,0,0,0,0,0
746.501,1,1,0,0,0,0,0,0
746.511,0,0,0,0,0,0,0,0
746.667,1,0,0,0,0,0,0,0
746.677,0,0,0,0,0,0,0,0
746.843,1,0,0,0,0,0,0,0
746.853,0,0,0,0,0,0,0,0
747.006,1,0,0,0,0,0,0,0
747.016,0,0,0,0,0,0,0,0
747.386,1,0,0,0,0,0,0,0
747.396,0,0,0,0,0,0,0,0
747.512,1,1,0,0,0,0,0,0
747.522,0,0,0,0,0,0,0,0
747.664,1,0,0,0,0,0,0,0
747.674,0,0,0,0,0,0,0,0
747.828,1,0,0,0,0,0,0,0
747.838,0,0,0,0,0,0,0,0
747.974,1,0,0,0,0,0,0,0
747.984,0,0,0,0,0,0,0,0
748.124,1,1,0,0,0,0,0,0
748.134,0,0,0,0,0,0,0,0
748.271,1,0,0,0,0,0,0,0
748.281,0,0,0,0,0,0,0,0
748.43,1,0,0,0,0,0,0,0
748.44,0,0,0,0,0,0,0,0
748.584,1,0,0,0,0,0,0,0
748.594,0,0,0,0,0,0,0,0
748.74,1,1,0,0,0,0,0,0
748.75,0,0,0,0,0,0,0,0
748.898,1,0,0,0,0,0,0,0
748.908,0,0,0,0,0,0,0,0
749.062,1,0,0,0,0,0,0,0
749.072,0,0,0,0,0,0,0,0
749.23,1,0,0,0,0,0,0,0
749.24,0,0,0,0,0,0,0,0
749.403,1,1,0,0,0,0,0,0
749.413,0,0,0,0,0,0,0,0
749.787,1,0,0,0,0,0,0,0
749.797,0,0,0,0,0,0,0,0
749.938,1,0,0,0,0,0,0,0
749.948,0,0,0,0,0,0,0,0
750.095,1,0,0,0,0,0,0,0
750.105,0,0,0,0,0,0,0,0
750.248,1,0,0,0,0,0,0,0
750.258,0,0,0,0,0,0,0,0
750.394,1,1,0,0,0,0,0,0
750.404,0,0,0,0,0,0,0,0
750.551,1,0,0,0,0,0,0,0
750.561,0,0,0,0,0,0,0,0
750.655,1,0,0,0,0,0,0,0
750.665,0,0,0,0,0,0,0,0
750.884,1,0,0,0,0,0,0,0
750.894,0,0,0,0,0,0,0,0
751.037,1,1,0,0,0,0,0,0
751.047,0,0,0,0,0,0,0,0
751.192,1,0,0,0,0,0,0,0
751.202,0,0,0,0,0,0,0,0
751.352,1,0,0,0,0,0,0,0
751.362,0,0,0,0,0,0,0,0
751.506,1,0,0,0,0,0,0,0
751.516,0,0,0,0,0,0,0,0
751.668,1,1,0,0,0,0,0,0
751.678,0,0,0,0,0,0,0,0
751.829,1,0,0,0,0,0,0,0
751.839,0,0,0,0,0,0,0,0
751.999,1,0,0,0,0,0,0,0
752.009,0,0,0,0,0,0,0,0
752.173,1,0,0,0,0,0,0,0
752.183,0,0,0,0,0,0,0,0
752.341,1,0,0,1,0,0,0,0
752.351,0,0,0,0,0,0,0,0
753.177,1,0,0,1,0,0,0,0
753.187,0,0,0,0,0,0,0,0
753.44,1,0,0,1,0,0,0,0
753.45,0,0,0,0,0,0,0,0
753.586,1,0,0,1,0,0,0,0
753.596,0,0,0,0,0,0,0,0
753.721,1,0,0,1,0,0,0,0
753.731,0,0,0,0,0,0,0,0
754.408,1,0,0,1,0,0,0,0
754.418,0,0,0,0,0,0,0,0
754.515,1,0,0,1,0,0,0,0
754.525,0,0,0,0,0,0,0,0
755.234,1,0,0,1,0,0,0,0
755.244,0,0,0,0,0,0,0,0
755.364,1,0,0,1,0,0,0,0
755.374,0,0,0,0,0,0,0,0
755.467,1,0,0,1,0,0,0,0
755.477,0,0,0,0,0,0,0,0
755.614,1,0,0,0,0,0,0,0
755.624,0,0,0,0,0,0,0,0
755.745,1,0,0,0,0,0,0,0
755.755,0,0,0,0,0,0,0,0
755.884,1,0,0,0,0,0,0,0
755.894,0,0,0,0,0,0,0,0
756.015,1,1,0,0,0,0,0,0
756.025,0,0,0,0,0,0,0,0
757.584,1,0,0,0,0,0,0,0
757.594,0,0,0,0,0,0,0,0
757.724,1,0,0,0,0,0,0,0
757.734,0,0,0,0,0,0,0,0
758.269,1,0,0,0,0,0,0,0
758.279,0,0,0,0,0,0,0,0
758.409,1,1,0,0,0,0,0,0
758.419,0,0,0,0,0,0,0,0
758.547,1,0,0,0,0,0,0,0
