Time(s),Lick,ArtSal,Chocolate,Quinine,NaCl,Sucrose,Peanut,Acid
342.591,0,0,0,0,0,0,0,0
343.127,1,1,0,0,0,0,0,0
343.137,0,0,0,0,0,0,0,0
343.272,1,0,0,0,0,0,0,0
343.282,0,0,0,0,0,0,0,0
343.43,1,0,0,0,0,0,0,0
343.44,0,0,0,0,0,0,0,0
345.491,1,0,0,0,0,0,0,0
345.501,0,0,0,0,0,0,0,0
345.615,1,0,0,0,0,0,0,0
345.625,0,0,0,0,0,0,0,0
345.77,1,0,0,0,0,0,0,1
345.78,0,0,0,0,0,0,0,0
345.924,1,0,0,0,0,0,0,1
345.934,0,0,0,0,0,0,0,0
346.117,1,0,0,0,0,0,0,1
346.127,0,0,0,0,0,0,0,0
346.295,1,0,0,0,0,0,0,1
346.305,0,0,0,0,0,0,0,0
346.44,1,0,0,0,0,0,0,1
346.45,0,0,0,0,0,0,0,0
346.614,1,0,0,0,0,0,0,1
346.624,0,0,0,0,0,0,0,0
346.778,1,0,0,0,0,0,0,1
346.788,0,0,0,0,0,0,0,0
346.931,1,0,0,0,0,0,0,1
346.941,0,0,0,0,0,0,0,0
347.082,1,0,0,0,0,0,0,1
347.092,0,0,0,0,0,0,0,0
347.245,1,0,0,0,0,0,0,1
347.255,0,0,0,0,0,0,0,0
347.546,1,0,0,0,0,0,0,0
347.556,0,0,0,0,0,0,0,0
347.701,1,0,0,0,0,0,0,0
347.711,0,0,0,0,0,0,0,0
347.852,1,0,0,0,0,0,0,0
347.862,0,0,0,0,0,0,0,0
348.005,1,0,0,0,0,0,0,0
348.015,0,0,0,0,0,0,0,0
348.156,1,1,0,0,0,0,0,0
348.166,0,0,0,0,0,0,0,0
348.305,1,0,0,0,0,0,0,0
348.315,0,0,0,0,0,0,0,0
352.354,1,0,0,0,0,0,0,0
352.364,0,0,0,0,0,0,0,0
352.489,1,0,0,0,0,0,0,0
352.499,0,0,0,0,0,0,0,0
352.6212,1,0,0,0,0,0,0,0
352.631,0,0,0,0,0,0,0,0
352.77,1,1,0,0,0,0,0,0
352.78,0,0,0,0,0,0,0,0
352.9222,1,0,0,0,0,0,0,0
352.932,0,0,0,0,0,0,0,0
353.0742,1,0,0,0,0,0,0,0
353.084,0,0,0,0,0,0,0,0
353.2352,1,0,0,0,0,0,0,0
353.245,0,0,0,0,0,0,0,0
353.4052,1,0,0,0,0,0,0,0
353.415,0,0,0,0,0,0,0,0
353.5602,1,0,0,0,0,0,0,0
353.57,0,0,0,0,0,0,0,0
353.7242,1,1,0,0,0,0,0,0
353.734,0,0,0,0,0,0,0,0
353.893,1,0,0,0,0,0,0,0
353.903,0,0,0,0,0,0,0,0
354.0702,1,0,0,0,0,0,0,0
354.08,0,0,0,0,0,0,0,0
354.2312,1,0,0,0,0,0,0,0
354.241,0,0,0,0,0,0,0,0
354.4082,1,0,0,0,0,0,0,0
354.418,0,0,0,0,0,0,0,0
354.5702,1,0,0,0,0,0,0,0
354.58,0,0,0,0,0,0,0,0
354.7352,1,1,0,0,0,0,0,0
354.745,0,0,0,0,0,0,0,0
354.8962,1,0,0,0,0,0,0,0
354.906,0,0,0,0,0,0,0,0
355.0762,1,0,0,0,0,0,0,0
355.086,0,0,0,0,0,0,0,0
355.2632,1,0,0,0,0,0,0,0
355.273,0,0,0,0,0,0,0,0
355.4212,1,0,0,0,0,0,0,0
355.431,0,0,0,0,0,0,0,0
408.8982,1,0,0,0,0,0,0,0
408.908,0,0,0,0,0,0,0,0
409.0352,1,1,0,0,0,0,0,0
409.045,0,0,0,0,0,0,0,0
409.1692,1,0,0,0,0,0,0,0
409.179,0,0,0,0,0,0,0,0
409.3132,1,0,0,0,0,0,0,0
409.323,0,0,0,0,0,0,0,0
409.4602,1,0,0,0,0,0,0,0
409.47,0,0,0,0,0,0,0,0
409.6272,1,1,0,0,0,0,0,0
409.637,0,0,0,0,0,0,0,0
409.9162,1,0,0,0,0,0,0,0
409.926,0,0,0,0,0,0,0,0
410.0802,1,0,0,0,0,0,0,0
410.09,0,0,0,0,0,0,0,0
410.2212,1,0,0,0,0,0,0,0
410.231,0,0,0,0,0,0,0,0
410.3682,1,0,0,0,0,0,0,0
410.378,0,0,0,0,0,0,0,0
410.5272,1,1,0,0,0,0,0,0
410.537,0,0,0,0,0,0,0,0
410.6842,1,0,0,0,0,0,0,0
410.694,0,0,0,0,0,0,0,0
410.8282,1,0,0,0,0,0,0,0
410.838,0,0,0,0,0,0,0,0
410.9862,1,0,0,0,0,0,0,0
410.996,0,0,0,0,0,0,0,0
411.1312,1,1,0,0,0,0,0,0
411.141,0,0,0,0,0,0,0,0
411.3012,1,0,0,0,0,0,0,0
411.311,0,0,0,0,0,0,0,0
411.4582,1,0,0,0,0,0,0,0
411.468,0,0,0,0,0,0,0,0
411.6442,1,0,0,0,0,0,0,0
411.654,0,0,0,0,0,0,0,0
411.7942,1,0,0,0,0,0,0,0
411.804,0,0,0,0,0,0,0,0
411.9542,1,0,0,0,0,0,0,0
411.964,0,0,0,0,0,0,0,0
412.1192,1,1,0,0,0,0,0,0
412.129,0,0,0,0,0,0,0,0
412.2732,1,0,0,0,0,0,0,0
412.283,0,0,0,0,0,0,0,0
412.4362,1,0,0,0,0,0,0,0
412.446,0,0,0,0,0,0,0,0
412.6052,1,0,0,0,0,0,0,0
412.615,0,0,0,0,0,0,0,0
412.7612,1,1,0,0,0,0,0,0
412.771,0,0,0,0,0,0,0,0
412.9222,1,0,0,0,0,0,0,0
412.932,0,0,0,0,0,0,0,0
413.0882,1,0,0,0,0,0,0,0
413.098,0,0,0,0,0,0,0,0
413.2422,1,0,0,0,0,0,0,0
413.252,0,0,0,0,0,0,0,0
413.4012,1,0,0,0,0,0,0,0
413.411,0,0,0,0,0,0,0,0
413.5692,1,0,0,0,1,0,0,0
413.579,0,0,0,0,0,0,0,0
413.7682,1,0,0,0,1,0,0,0
413.778,0,0,0,0,0,0,0,0
413.9122,1,0,0,0,1,0,0,0
413.922,0,0,0,0,0,0,0,0
414.0502,1,0,0,0,1,0,0,0
414.06,0,0,0,0,0,0,0,0
414.1952,1,0,0,0,1,0,0,0
414.205,0,0,0,0,0,0,0,0
414.3452,1,0,0,0,1,0,0,0
414.355,0,0,0,0,0,0,0,0
414.4932,1,0,0,0,1,0,0,0
414.503,0,0,0,0,0,0,0,0
414.6442,1,0,0,0,1,0,0,0
414.654,0,0,0,0,0,0,0,0
414.8152,1,0,0,0,1,0,0,0
414.825,0,0,0,0,0,0,0,0
414.9772,1,0,0,0,1,0,0,0
414.987,0,0,0,0,0,0,0,0
415.1212,1,0,0,0,0,0,0,0
415.131,0,0,0,0,0,0,0,0
415.2714,1,0,0,0,0,0,0,0
415.281,0,0,0,0,0,0,0,0
415.4252,1,0,0,0,0,0,0,0
415.435,0,0,0,0,0,0,0,0
415.5842,1,0,0,0,0,0,0,0
415.594,0,0,0,0,0,0,0,0
415.7454,1,1,0,0,0,0,0,0
415.755,0,0,0,0,0,0,0,0
415.9072,1,0,0,0,0,0,0,0
415.917,0,0,0,0,0,0,0,0
416.0642,1,0,0,0,0,0,0,0
416.074,0,0,0,0,0,0,0,0
