 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
6.49753, 45.76843, 1.260756, 8.431291, 7.431485, 10.99281, 1.904093, 3.261693, 1.178877, 3.707123, 12.65448, 4.709466, 3.974495, 0.6984802
6.597492, 43.81058, 1.203967, 8.011482, 7.029512, 10.45788, 1.810129, 4.730573, 1.121981, 3.511978, 14.66836, 6.573492, 3.761306, 0.6642772
6.697454, 41.93648, 1.149736, 7.612576, 6.649282, 9.948985, 1.720801, 4.52633, 1.391016, 3.327106, 14.58156, 6.913307, 3.559553, 0.631749
6.797416, 41.35881, 1.097948, 7.233532, 6.289618, 9.464849, 1.635883, 4.330907, 1.323881, 3.151966, 15.43629, 7.871787, 3.368621, 0.6008137
6.897378, 42.65027, 1.048493, 6.873362, 10.05875, 20.39707, 1.555154, 4.143921, 1.259987, 2.986045, 14.69218, 12.5293, 3.187931, 0.5713931
6.99734, 40.82581, 1.001265, 6.531126, 10.31994, 19.40452, 1.47841, 3.965008, 1.199177, 2.828859, 15.1935, 11.78667, 3.393687, 0.5434133
7.097302, 39.07939, 0.9561647, 6.205929, 9.761732, 18.46026, 1.405453, 3.793819, 1.141301, 2.679946, 14.4611, 11.08806, 4.142426, 0.5168036
7.197264, 37.40767, 0.9130957, 6.006208, 9.233715, 17.56195, 2.684844, 3.630021, 2.548513, 2.538872, 14.53866, 10.43085, 3.92023, 0.4914968
7.297226, 35.80747, 0.8719668, 6.77348, 8.734259, 16.70735, 2.552351, 3.473296, 2.425514, 2.405225, 14.16225, 9.8126, 3.709953, 0.4674293
7.397188, 34.27572, 0.8326904, 6.436216, 8.261817, 15.89434, 2.426396, 3.323337, 2.308452, 2.278613, 13.47955, 9.230993, 3.510954, 0.4445404
7.49715, 32.8095, 0.7951832, 6.115746, 7.814931, 15.1209, 2.306657, 3.179852, 2.19704, 2.158666, 12.82977, 8.683859, 3.322629, 0.4227722
7.597112, 31.40599, 0.7593654, 5.811232, 7.392217, 14.38509, 2.192827, 3.499917, 2.091004, 2.045033, 12.21131, 8.169153, 3.144406, 0.40207
7.697074, 36.38832, 0.725161, 5.521881, 6.992368, 13.68508, 2.084615, 7.474214, 3.403482, 11.02883, 14.29015, 7.684956, 2.975743, 2.94462
