 , C0, C1, C2, C3, C4, C5, C6
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted
4.526753, 0.1132198, -0.0007258739, 0.01060628, -0.01760792, -0.009910708, 0.01645637, 0.008609733
4.585542, 0.1095681, -0.001484275, 0.00717584, -0.01608536, -0.007995246, 0.01682695, 0.002790358
4.644331, 0.1098239, 0.0002672579, 0.006350731, -0.01776448, -0.01319713, 0.02009614, 0.003930978
4.70312, 0.1099954, 0.0006526121, 0.009511978, -0.0154946, -0.007965923, 0.02699395, 0.005737815
4.761909, 0.1184346, 0.003376355, 0.00575688, -0.02085184, -0.01096277, 0.02492485, 0.003495435
4.820698, 0.1149543, -0.002216105, 0.00520352, -0.01795671, -0.01814234, 0.03023476, 0.0005126119
4.879487, 0.1194302, -0.0009165135, 0.008472259, -0.01444356, -0.01478021, 0.02242727, 0.00261732
4.938276, 0.1166675, 0.002168808, 0.005827487, -0.01751806, -0.01366496, 0.02344183, 0.001424965
4.997065, 0.1224688, -0.0004097956, 0.006290495, -0.01905147, -0.01709764, 0.02709831, 0.004208788
5.055854, 0.1187588, -0.0002369183, 0.003859609, -0.01873843, -0.01108578, 0.03350488, -0.00163891
5.114643, 0.1166492, 0.0007337439, 0.00694475, -0.02218132, -0.009932335, 0.02720129, -0.0009033636
5.173432, 0.1142151, 0.0012522, 0.001578014, -0.01936856, -0.01663355, 0.0305009, 0.004913909
5.232221, 0.1050691, 0.002482008, 0.00488731, -0.02081514, -0.01111238, 0.03588734, -0.003182436
5.29101, 0.1101871, 0.001950551, 0.00121257, -0.01952841, -0.0137129, 0.0417382, 0.000161044
5.349799, 0.1080473, 0.0006527333, 0.001981075, -0.02053972, -0.01176194, 0.03737784, -0.004199438
5.408588, 0.1039335, 0.0004322443, 0.005202075, -0.02015807, -0.009893877, 0.04341172, -0.0009312328
5.467377, 0.1072802, 0.002594631, 0.003800061, -0.01779899, -0.01066892, 0.05382918, 0.0006719602
5.526166, 0.1127719, -0.0009759121, 0.004776565, -0.02011208, -0.01607808, 0.03624087, -0.001151365
5.584955, 0.1094898, -0.000509247, 0.005136269, -0.01736734, -0.01611613, 0.03068798, 0.000360613
5.643744, 0.1092159, -0.002385429, 0.008542007, -0.01792222, -0.01701675, 0.03047059, -0.006707151
5.702533, 0.1061416, 0.001161535, 0.004607918, -0.01833552, -0.01959102, 0.02667328, -0.003113375
5.761322, 0.1007432, -0.004958879, 0.009304943, -0.01683796, -0.02143956, 0.0205623, -0.01000758
5.820111, 0.1052662, -0.001502318, 0.0043971, -0.01712228, -0.01837888, 0.02219942, -0.009194136
5.8789, 0.1021925, -0.0006559422, 0.003279005, -0.01670057, -0.02152989, 0.03906732, -0.007889792
5.937689, 0.1082243, -0.001722491, 0.005826419, -0.01888498, -0.02520463, 0.02741878, -0.002924886
5.996478, 0.1072183, -0.0001900809, 0.001297816, -0.01647901, -0.01914552, 0.03081146, -0.003975978
6.055267, 0.1012464, 0.003026953, 0.002515124, -0.01522703, -0.02139277, 0.02816604, -0.007387745
6.114056, 0.09951028, 0.001490313, 0.005717533, -0.02258088, -0.02022583, 0.0280766, 0.00276379
6.172845, 0.1016749, -0.0001043938, 0.007433471, -0.02107526, -0.01692654, 0.02115686, -0.003171003
6.231634, 0.1002273, 0.001658164, 0.004047135, -0.01911177, -0.01945802, 0.03641608, -0.003443556
6.290423, 0.1091034, 0.0005339734, 0.002647583, -0.02274811, -0.02129868, 0.03320063, -0.005666052
6.349212, 0.1073364, -0.001822877, 0.005158519, -0.02119849, -0.01964842, 0.04205435, -0.007769473
6.408001, 0.1092475, -0.0001368377, -2.553902e-05, -0.01815069, -0.02443304, 0.04574243, -0.01363068
6.46679, 0.1066013, 0.002653596, 0.002994198, -0.02226822, -0.02258873, 0.03279294, -0.003344366
6.525579, 0.1139968, 0.002377093, 0.00774013, -0.01769482, -0.01703744, 0.02770012, -0.008657202
6.584368, 0.1211846, -0.0006829192, 0.005196854, -0.01814886, -0.01476487, 0.02589294, -0.00854459
6.643157, 0.112378, 0.0008011075, 0.006552057, -0.01805222, -0.01284038, 0.03036457, -0.006476928
6.701946, 0.1100179, -0.000995736, 0.01021849, -0.02119768, -0.01717568, 0.02191819, -0.007725157
6.760735, 0.1079568, 0.0005261122, 0.006551677, -0.02056609, -0.01930614, 0.02003771, -0.005434987
6.819524, 0.1132447, 0.0005623307, 0.002865349, -0.01767758, -0.01698051, 0.01940831, -0.007317838
6.878313, 0.1152645, 0.001276607, 0.002544906, -0.01772422, -0.02179205, 0.01812277, -0.007139088
6.937102, 0.1183538, 0.003585252, 0.00620886, -0.01847601, -0.0211743, 0.01923241, -0.007911799
6.995891, 0.113646, 0.0008728209, 0.007282404, -0.01898359, -0.02662487, 0.01456239, -0.008723734
7.05468, 0.1120091, 0.001114894, 0.003594744, -0.01624724, -0.01961036, 0.01232522, -0.006692426
7.113469, 0.114481, 0.003640541, 0.003704064, -0.01629087, -0.02252997, 0.009802083, -0.004379457
7.172258, 0.1057205, 0.004230422, -0.001980438, -0.01874699, -0.02262466, 0.0294895, -0.01590859
7.231047, 0.11213, 0.003782269, 0.003912807, -0.01755477, -0.02199887, 0.02010317, -0.007503328
7.289836, 0.103926, 0.0008969663, -0.001708941, -0.02195754, -0.01649087, 0.02606549, -0.01344637
7.348625, 0.1018819, 0.003707271, 0.0006329125, -0.01627075, -0.01624857, 0.01812661, -0.01446933
7.407414, 0.1014272, 0.001307594, 0.005122846, -0.01725354, -0.01370228, 0.01678194, -0.01090536
7.466203, 0.09918815, 0.002569802, 0.004325342, -0.01885016, -0.01697416, 0.0179068, -0.004641162
7.524992, 0.08802947, 0.001023492, 0.008094296, -0.01980603, -0.02530107, 0.00445339, -0.01055081
