Time(s),Lick,Rinse,ArtSal,Quinine,NaCl,Sucrose,MSG,Citric
211.177,0,0,0,0,0,0,0,0
211.34900000000002,1,0,0,0,0,0,0,0
211.359,0,0,0,0,0,0,0,0
211.498,1,1,0,0,0,0,0,0
211.508,0,0,0,0,0,0,0,0
211.653,1,0,0,0,0,0,0,0
211.663,0,0,0,0,0,0,0,0
211.81400000000002,1,0,0,0,0,0,0,0
211.824,0,0,0,0,0,0,0,0
211.975,1,0,0,0,0,0,0,0
211.985,0,0,0,0,0,0,0,0
212.14700000000002,1,1,0,0,0,0,0,0
212.157,0,0,0,0,0,0,0,0
212.31799999999998,1,0,0,0,0,0,0,0
212.328,0,0,0,0,0,0,0,0
212.5,1,0,0,0,0,0,0,0
212.51,0,0,0,0,0,0,0,0
212.66299999999998,1,0,0,0,0,0,0,0
212.673,0,0,0,0,0,0,0,0
212.84099999999998,1,1,0,0,0,0,0,0
212.851,0,0,0,0,0,0,0,0
213.007,1,0,0,0,0,0,0,0
213.017,0,0,0,0,0,0,0,0
213.18400000000003,1,0,0,0,0,0,0,0
213.194,0,0,0,0,0,0,0,0
213.364,1,0,0,0,0,0,0,0
213.374,0,0,0,0,0,0,0,0
213.55700000000002,1,1,0,0,0,0,0,0
213.567,0,0,0,0,0,0,0,0
213.705,1,0,0,0,0,0,0,0
213.715,0,0,0,0,0,0,0,0
213.875,1,0,0,0,0,0,0,0
213.885,0,0,0,0,0,0,0,0
214.054,1,0,0,0,0,0,0,0
214.064,0,0,0,0,0,0,0,0
214.158,1,0,0,0,0,0,0,0
214.168,0,0,0,0,0,0,0,0
214.389,1,0,0,0,0,0,0,0
214.399,0,0,0,0,0,0,0,0
214.592,1,1,0,0,0,0,0,0
214.602,0,0,0,0,0,0,0,0
214.767,1,0,0,0,0,0,0,0
214.777,0,0,0,0,0,0,0,0
214.93099999999998,1,0,0,0,0,0,0,0
214.941,0,0,0,0,0,0,0,0
215.717,1,0,0,0,0,0,0,0
215.727,0,0,0,0,0,0,0,0
216.293,1,0,0,0,0,0,0,0
216.303,0,0,0,0,0,0,0,0
221.4412,1,0,0,0,0,0,0,0
221.451,0,0,0,0,0,0,0,0
221.5992,1,1,0,0,0,0,0,0
221.609,0,0,0,0,0,0,0,0
221.7562,1,0,0,0,0,0,0,0
221.766,0,0,0,0,0,0,0,0
221.9092,1,0,0,0,0,0,0,0
221.919,0,0,0,0,0,0,0,0
222.0622,1,0,0,0,0,0,0,0
222.072,0,0,0,0,0,0,0,0
222.2402,1,0,0,0,0,0,0,0
222.25,0,0,0,0,0,0,0,0
222.4462,1,0,0,0,0,0,0,0
222.456,0,0,0,0,0,0,0,0
222.6072,1,0,0,0,0,0,0,1
222.617,0,0,0,0,0,0,0,0
222.7782,1,0,0,0,0,0,0,1
222.788,0,0,0,0,0,0,0,0
222.9382,1,0,0,0,0,0,0,1
222.948,0,0,0,0,0,0,0,0
223.0942,1,0,0,0,0,0,0,1
223.104,0,0,0,0,0,0,0,0
223.2592,1,0,0,0,0,0,0,1
223.269,0,0,0,0,0,0,0,0
223.4062,1,0,0,0,0,0,0,1
223.416,0,0,0,0,0,0,0,0
223.5622,1,0,0,0,0,0,0,1
223.572,0,0,0,0,0,0,0,0
223.7232,1,0,0,0,0,0,0,1
223.733,0,0,0,0,0,0,0,0
223.8792,1,0,0,0,0,0,0,1
223.889,0,0,0,0,0,0,0,0
224.0502,1,0,0,0,0,0,0,1
224.06,0,0,0,0,0,0,0,0
224.2052,1,0,0,0,0,0,0,0
224.215,0,0,0,0,0,0,0,0
224.3582,1,0,0,0,0,0,0,0
224.368,0,0,0,0,0,0,0,0
224.5222,1,0,0,0,0,0,0,0
224.532,0,0,0,0,0,0,0,0
225.3642,1,0,0,0,0,0,0,0
225.374,0,0,0,0,0,0,0,0
225.4832,1,0,0,0,0,0,0,0
225.493,0,0,0,0,0,0,0,0
225.6302,1,1,0,0,0,0,0,0
225.64,0,0,0,0,0,0,0,0
229.9134,1,0,0,0,0,0,0,0
229.923,0,0,0,0,0,0,0,0
230.0154,1,0,0,0,0,0,0,0
230.025,0,0,0,0,0,0,0,0
230.1514,1,0,0,0,0,0,0,0
230.161,0,0,0,0,0,0,0,0
230.2884,1,0,0,0,0,0,0,0
230.298,0,0,0,0,0,0,0,0
230.4294,1,0,0,0,0,0,0,0
230.439,0,0,0,0,0,0,0,0
230.6274,1,1,0,0,0,0,0,0
230.637,0,0,0,0,0,0,0,0
230.7794,1,0,0,0,0,0,0,0
230.789,0,0,0,0,0,0,0,0
230.9244,1,0,0,0,0,0,0,0
230.934,0,0,0,0,0,0,0,0
231.0774,1,0,0,0,0,0,0,0
231.087,0,0,0,0,0,0,0,0
231.2384,1,0,0,0,0,0,0,0
231.248,0,0,0,0,0,0,0,0
231.3884,1,1,0,0,0,0,0,0
231.398,0,0,0,0,0,0,0,0
231.5674,1,0,0,0,0,0,0,0
231.577,0,0,0,0,0,0,0,0
231.7404,1,0,0,0,0,0,0,0
231.75,0,0,0,0,0,0,0,0
231.9124,1,0,0,0,0,0,0,0
231.922,0,0,0,0,0,0,0,0
232.0814,1,1,0,0,0,0,0,0
232.091,0,0,0,0,0,0,0,0
232.2484,1,0,0,0,0,0,0,0
232.258,0,0,0,0,0,0,0,0
232.4244,1,0,0,0,0,0,0,0
232.434,0,0,0,0,0,0,0,0
232.5914,1,0,0,0,0,0,0,0
232.601,0,0,0,0,0,0,0,0
232.9004,1,1,0,0,0,0,0,0
232.91,0,0,0,0,0,0,0,0
233.1084,1,0,0,0,0,0,0,0
233.118,0,0,0,0,0,0,0,0
233.2424,1,0,0,0,0,0,0,0
233.252,0,0,0,0,0,0,0,0
233.4154,1,0,0,0,0,0,0,0
233.425,0,0,0,0,0,0,0,0
233.6114,1,0,0,0,0,0,0,0
233.621,0,0,0,0,0,0,0,0
235.7634,1,1,0,0,0,0,0,0
235.773,0,0,0,0,0,0,0,0
235.8844,1,0,0,0,0,0,0,0
235.894,0,0,0,0,0,0,0,0
236.0304,1,0,0,0,0,0,0,0
236.04,0,0,0,0,0,0,0,0
236.1854,1,0,0,0,0,0,0,0
236.195,0,0,0,0,0,0,0,0
236.3294,1,1,0,0,0,0,0,0
236.339,0,0,0,0,0,0,0,0
236.4864,1,0,0,0,0,0,0,0
236.496,0,0,0,0,0,0,0,0
236.6444,1,0,0,0,0,0,0,0
236.654,0,0,0,0,0,0,0,0
236.8154,1,0,0,0,0,0,0,0
236.825,0,0,0,0,0,0,0,0
285.9134,1,0,0,0,0,0,0,0
285.923,0,0,0,0,0,0,0,0
286.0234,1,0,0,0,0,0,0,0
286.033,0,0,0,0,0,0,0,0
286.1406,1,1,0,0,0,0,0,0
286.151,0,0,0,0,0,0,0,0
286.3644,1,0,0,0,0,0,0,0
286.374,0,0,0,0,0,0,0,0
286.4904,1,0,0,0,0,0,0,0
286.5,0,0,0,0,0,0,0,0
286.6186,1,0,0,0,0,0,0,0
